"building_name","building_id","address","latitude","longitude"
"Zane Showker Hall",1,"421 Bluestone Dr, Harrisonburg, VA 22807",38.4336944806822,-78.8725478163852
"Keezell Hall",2,"921 Madison Dr, Harrisonburg, VA 22807",38.438699677619,-78.8727786624089
"Duke Hall",3,"820 S Main St, Harrisonburg, VA 22801",38.4408516674639,-78.8740093335735
"Studio Center",4,"110 W Grace St, Harrisonburg, VA 22801",38.4438307341301,-78.8772452028909
"Memorial Hall",5,"395 S High St, Harrisonburg, VA 22801",38.4451632486375,-78.8785528587141
"Health and Behavioral Sciences Building",6,"235 M.L.K. Jr. Way, Harrisonburg, VA 22801",38.4402027624985,-78.8703670605616
"Bioscience Building",7,"951 Carrier Dr, Harrisonburg, VA 22807",38.4340421629948,-78.8605355605618
"ISAT/CS Building",8,"701 Carrier Dr, Harrisonburg, VA 22807",38.4343237581955,-78.8630657875499
"Physics/Chemistry",9,"901 Carrier Dr, Harrisonburg, VA 22807",38.4340704379042,-78.8613926740559
"Darcus Johnson Hall",10,"58 Bluestone Dr, Harrisonburg, VA 22807",38.4381852459611,-78.8741530875498
"Godwin Hall",11,"261 Bluestone Dr, Harrisonburg, VA 22807",38.4354600596938,-78.8716539047383
"Forbes Center",12,"147 Warsaw Ave, Harrisonburg, VA 22801",38.4402961312009,-78.8765637182322
"Gabbin Hall",14,"971 Madison Drive, Harrisonburg, VA 22801",38.4374747701207,-78.8731825047383
"Moody Hall",15,"90 Bluestone Drive, Harrisonburg, VA 22801",38.4375615811963,-78.8739618587144
"Cleveland Hall",16,"61 E Grace St, Harrisonburg, VA 22807",38.4401669487345,-78.8739540605616
"Miller Hall",17,"91 E Grace St, Harrisonburg, VA 22801",38.4400862697806,-78.8731173182323
"Burruss Hall",18,"820 Madison Dr, Harrisonburg, VA, 22801",38.4395907465456,-78.8722428893969
"Roop Hall",19,"60 Bluestone Drive, Harrisonburg, VA 22801",38.4373774590189,-78.8752773335736
"Music Building",20,"880 South Main Street, Harrisonburg, VA 22801",38.4401721591171,-78.8746874605615
"Johnston Hall",21,"70 Alumnae Drive, Harrisonburg, VA 22807",38.4394671397318,-78.8735098163849
"Anthony-Seeger Hall",22,"821 S Main St, Harrisonburg, VA 22801",38.4416516551554,-78.8758949182322
"Harrison Hall",23,"54 Bluestone Dr, Harrisonburg, VA 22801",38.4377294919369,-78.8753318740557
"Chandler Hall",24,"451 Bluestone Dr, Harrisonburg, VA 22807",38.4332894647472,-78.8735771605619
"Festival",25,"1301 Carrier Dr, Harrisonburg, VA 22807",38.4329919611412,-78.8593930605618
"Wayland Hall",26,"51 Bluestone Dr, Harrisonburg, VA 22807",38.4375933886393,-78.8757095163851
"Student Success Center",27,"738 S Mason St, Harrisonburg, VA 22807",38.4403227380384,-78.8714000587143
"The United Way Building",28,"420 Chesapeake Ave, Harrisonburg, VA 22801",38.4428856644607,-78.8782490452203
"Bridgeforth Stadium",29,"251 Bluestone Dr, Harrisonburg, VA 22807",38.4371300519885,-78.8735341875498
"The Union",30,"170 Bluestone Dr, Harrisonburg, VA 22801",38.4378894614978,-78.8708007605617
"UREC",31,"701 Driver Drive, Harrisonburg, VA 22801",38.4336911595947,-78.8675162317265
"Lakeview Hall",32,"298 Port Republic Rd, Harrisonburg, VA 22807",38.4321511026059,-78.8759667317265
"Sheldon Hall",33,"71 Alumnae Dr, Harrisonburg, VA 22807",38.4393106293636,-78.8737396470676
"Hoffman Hall",34,"71 Bluestone Dr, Harrisonburg, VA 22807",38.4369665523502,-78.8749443740557
"Carrier Library",35,"880 Madison Dr, Harrisonburg, VA 22807",38.4388427301263,-78.8720217605617
"Engineering/Geosciences",36,"801 Carrier Dr, Harrisonburg, VA 22807",38.434375266358,-78.8622263433732
"Madison Hall",37,"100 E Grace St, Harrisonburg, VA 22801",38.4407668296489,-78.8723114528909
"Hotel Madison",38,"710 S Main St, Harrisonburg, VA 22801",38.4415958586061,-78.8734718470675
"Wilson Hall",39,"951 Madison Dr, Harrisonburg, VA 22801",38.4382341716923,-78.873078102891
"Mauck Stadium",40,"761 Duke Dr, Harrisonburg, VA 22807",38.436814079685,-78.8654442182324
"Campbell Building",41,"755 M.L.K. Jr. Way, Harrisonburg, VA 22801",38.4402063486428,-78.8581037047382
"Paul Jennings Hall",42,"831 University Blvd, Harrisonburg, VA 22801",38.4308427749932,-78.8660010298793
"Hartman Hall",43,"421 Bluestone Dr, Harrisonburg, VA 22807",38.4336356512727,-78.8726229182324
"Hillside Hall",44,"290 Warren Service Dr, Harrisonburg, VA 22801",38.4385344671599,-78.8688749568671
"The Hub",45,"771 Duke Dr, Harrisonburg, VA 22807",38.4401932486733,-78.8713364759029
"Grafton-Stovall Theater",46,"281 Warren Service Dr, Harrisonburg, VA 22807",38.4383550861724,-78.8705006423294
"Driver Drive Modular",49,"1151 Driver Drive, Harrisonburg, VA 22807",38.4299988282502,-78.8638276470679
"Taylor Hall",50,"285 Warren Service Dr, Harrisonburg, VA 22807",38.438030060283,-78.8701478795975
"Montpelier Hall",51,"235 Cantrell Ave, Harrisonburg, VA 22801",38.4405781204789,-78.8710149759029
"Wine-Price Hall",52,"752 Ott St, Harrisonburg, VA 22801",38.4392946686058,-78.8696643759029
"Ice House",53,"127 W Bruce St, Harrisonburg, VA 22801",38.447548231546,-78.8718682893967
"Hillside Field",55,"481 M.L.K. Jr. Way, Harrisonburg, VA 22801",38.4379940887216,-78.8687864616316
"The Annex",56,"181 Patterson St, Harrisonburg, VA 22801",38.4412525546733,-78.8771453145294
