"minutes","distance","deck_id","building_id","distance_id"
3,0.2,1,1,1
10,0.5,2,1,2
13,0.6,3,1,3
16,0.7,4,1,4
9,0.4,1,2,5
5,0.2,2,2,6
4,0.2,3,2,7
8,0.4,4,2,8
13,0.6,1,3,9
6,0.3,2,3,10
5,0.3,3,3,11
6,0.3,4,3,12
18,0.9,1,4,13
10,0.5,2,4,14
9,0.4,3,4,15
6,0.3,4,4,16
23,1.1,1,5,17
15,0.7,2,5,18
11,0.5,3,5,19
11,0.5,4,5,20
11,0.5,1,6,21
3,0.1,2,6,22
3,0.1,3,6,23
12,0.6,4,6,24
17,0.8,1,7,25
16,0.8,2,7,26
20,1,3,7,27
25,1.2,4,7,28
15,0.7,1,8,29
14,0.6,2,8,30
17,0.8,3,8,31
22,1,4,8,32
16,0.8,1,9,33
15,0.7,2,9,34
19,0.9,3,9,35
24,1.1,4,9,36
8,0.4,1,10,37
11,0.5,2,10,38
9,0.5,3,10,39
8,0.4,4,10,40
4,0.2,1,11,41
7,0.4,2,11,42
11,0.6,3,11,43
15,0.7,4,11,44
11,0.5,1,12,45
10,0.5,2,12,46
9,0.4,3,12,47
2,0.1,4,12,48
6,0.3,1,14,53
7,0.3,2,14,54
6,0.3,3,14,55
9,0.4,4,14,56
5,0.2,1,15,57
8,0.4,2,15,58
7,0.4,3,15,59
8,0.4,4,15,60
11,0.5,1,16,61
5,0.3,2,16,62
4,0.2,3,16,63
9,0.4,4,16,64
12,0.5,1,17,65
4,0.2,2,17,66
2,0.1,3,17,67
8,0.4,4,17,68
11,0.5,1,18,69
3,0.1,2,18,70
3,0.1,3,18,71
10,0.5,4,18,72
6,0.3,1,19,73
9,0.5,2,19,74
7,0.4,3,19,75
10,0.5,4,19,76
12,0.6,1,20,77
7,0.4,2,20,78
6,0.3,3,20,79
5,0.2,4,20,80
10,0.5,1,21,81
6,0.3,2,21,82
4,0.2,3,21,83
9,0.4,4,21,84
16,0.8,1,22,85
8,0.4,2,22,86
6,0.3,3,22,87
5,0.3,4,22,88
7,0.3,1,23,89
9,0.5,2,23,90
8,0.4,3,23,91
7,0.3,4,23,92
5,0.3,1,24,93
13,0.7,2,24,94
16,0.8,3,24,95
17,0.8,4,24,96
22,1,1,25,97
22,1,2,25,98
25,1.2,3,25,99
30,1.4,4,25,100
7,0.3,1,26,101
9,0.5,2,26,102
8,0.4,3,26,103
6,0.3,4,26,104
11,0.5,1,27,105
3,0.1,2,27,106
1,0.1,3,27,107
10,0.4,4,27,108
19,1,1,28,109
11,0.6,2,28,110
10,0.5,3,28,111
7,0.4,4,28,112
6,0.2,1,29,113
7,0.4,2,29,114
7,0.4,3,29,115
9,0.4,4,29,116
8,0.4,1,30,117
4,0.2,2,30,118
7,0.4,3,30,119
11,0.5,4,30,120
8,0.4,1,31,121
11,0.6,2,31,122
14,0.7,3,31,123
20,0.9,4,31,124
8,0.4,1,32,125
16,0.8,2,32,126
17,0.9,3,32,127
18,0.9,4,32,128
10,0.5,1,33,129
6,0.3,2,33,130
4,0.2,3,33,131
9,0.4,4,33,132
6,0.3,1,34,133
9,0.4,2,34,134
7,0.4,3,34,135
8,0.3,4,34,136
8,0.4,1,35,137
6,0.3,2,35,138
5,0.2,3,35,139
10,0.4,4,35,140
15,0.7,1,36,141
14,0.7,2,36,142
18,0.9,3,36,143
23,1.1,4,36,144
11,0.5,1,37,145
4,0.2,2,37,146
2,0.1,3,37,147
9,0.4,4,37,148
14,0.7,1,38,149
6,0.3,2,38,150
4,0.2,3,38,151
7,0.3,4,38,152
7,0.3,1,39,153
6,0.3,2,39,154
6,0.3,3,39,155
9,0.4,4,39,156
12,0.6,1,40,157
10,0.5,2,40,158
13,0.7,3,40,159
18,0.9,4,40,160
32,1.5,1,41,161
28,1.3,2,41,162
25,1.2,3,41,163
35,1.7,4,41,164
19,0.9,1,42,165
21,1,2,42,166
25,1.2,3,42,167
30,1.4,4,42,168
3,0.2,1,43,169
10,0.5,2,43,170
13,0.7,3,43,171
16,0.7,4,43,172
13,0.6,1,44,173
4,0.2,2,44,174
7,0.4,3,44,175
15,0.7,4,44,176
11,0.5,1,45,177
2,0.1,2,45,178
2,0.1,3,45,179
10,0.5,4,45,180
11,0.5,1,46,181
2,0.1,2,46,182
5,0.3,3,46,183
13,0.6,4,46,184
17,0.8,1,49,193
20,1,2,49,194
23,1.1,3,49,195
28,1.4,4,49,196
10,0.5,1,50,197
4,0.2,2,50,198
8,0.4,3,50,199
13,0.6,4,50,200
11,0.5,1,51,201
2,0.1,2,51,202
3,0.2,3,51,203
12,0.6,4,51,204
17,0.8,1,52,205
8,0.4,2,52,206
5,0.2,3,52,207
16,0.7,4,52,208
23,1.1,1,53,209
15,0.8,2,53,210
11,0.5,3,53,211
15,0.7,4,53,212
11,0.5,1,55,213
3,0.1,2,55,214
6,0.3,3,55,215
14,0.7,4,55,216
21,1.1,5,55,217
10,0.5,6,55,218
21,1.1,5,1,219
25,1.3,5,2,220
28,1.5,5,3,221
29,1.5,5,4,222
35,1.8,5,5,223
22,1.1,5,6,224
8,0.4,5,7,225
6,0.3,5,8,226
7,0.4,5,9,227
23,1.2,5,10,228
17,0.9,5,11,229
26,1.3,5,12,230
21,1.1,5,14,231
21,1.1,5,15,232
24,1.2,5,16,233
23,1.2,5,17,234
22,1.1,5,18,235
24,1.3,5,19,236
25,1.3,5,20,237
23,1.2,5,21,238
27,1.4,5,22,239
23,1.2,5,23,240
20,1.1,5,24,241
2,0.1,5,25,242
23,1.2,5,26,243
22,1.1,5,27,244
31,1.6,5,28,245
18,1,5,29,246
17,0.9,5,30,247
10,0.6,5,31,248
23,1.2,5,32,249
22,1.1,5,33,250
22,1.2,5,34,251
22,1.1,5,35,252
8,0.4,5,36,253
24,1.2,5,37,254
25,1.3,5,38,255
20,1,5,39,256
16,0.9,5,40,257
18,1,5,41,258
10,0.5,5,42,259
17,0.9,5,43,260
20,1,5,44,261
22,1.1,5,45,262
19,1,5,46,263
8,0.4,5,49,264
18,1,5,50,265
22,1.1,5,51,266
27,1.4,5,52,267
35,1.8,5,53,268
27,1.4,5,56,269
20,1,6,1,270
10,0.5,6,2,271
6,0.3,6,3,272
2,0.1,6,4,273
7,0.3,6,5,274
11,0.5,6,6,275
27,1.2,6,7,276
24,1.1,6,8,277
26,1.2,6,9,278
13,0.6,6,10,279
18,0.9,6,11,280
8,0.4,6,12,281
14,0.7,6,14,282
14,0.7,6,15,283
8,0.4,6,16,284
7,0.3,6,17,285
9,0.4,6,18,286
13,0.6,6,19,287
7,0.3,6,20,288
10,0.4,6,21,289
4,0.2,6,22,290
12,0.6,6,23,291
22,1,6,24,292
32,1.5,6,25,293
12,0.6,6,26,294
9,0.4,6,27,295
3,0.1,6,28,296
14,0.6,6,29,297
14,0.7,6,30,298
21,1,6,31,299
24,1.2,6,32,300
10,0.4,6,33,301
13,0.6,6,34,302
12,0.6,6,35,303
25,1.1,6,36,304
8,0.3,6,37,305
6,0.3,6,38,306
12,0.6,6,39,307
20,1,6,40,308
34,1.6,6,41,309
32,1.5,6,42,310
20,1,6,43,311
14,0.7,6,44,312
9,0.4,6,45,313
12,0.6,6,46,314
30,1.4,6,49,315
15,0.7,6,50,316
11,0.5,6,51,317
15,0.7,6,52,318
10,0.5,6,53,319
6,0.3,6,56,320
13,0.6,1,56,321
10,0.5,2,56,322
9,0.5,3,56,323
2,0.1,4,56,324
