"course_nbr","term","days","start_t","end_t","enrolled","building_id","meeting_id"
51830,1155,"MTUWTH","09:00:00","14:00:00",3,10,1
75296,1158,"TH","11:00:00","11:50:00",28,10,2
75297,1158,"TU","15:30:00","16:20:00",26,10,3
75298,1158,"TH","15:30:00","16:20:00",24,10,4
75299,1158,"M","09:05:00","09:55:00",28,10,5
75300,1158,"W","09:05:00","09:55:00",29,10,6
75301,1158,"M","11:15:00","12:05:00",27,10,7
75302,1158,"W","11:15:00","12:05:00",27,10,8
75303,1158,"TU","09:30:00","10:20:00",28,10,9
75304,1158,"TH","09:30:00","10:20:00",28,10,10
75305,1158,"TU","12:30:00","13:20:00",27,10,11
75306,1158,"TH","12:30:00","13:20:00",27,10,12
75307,1158,"TU","09:30:00","10:20:00",27,10,13
13385,1171,"MW","16:00:00","17:15:00",34,19,14
10157,1171,"MW","10:10:00","11:00:00",33,19,15
75308,1158,"TH","09:30:00","10:20:00",28,10,16
75309,1158,"TU","15:30:00","16:20:00",27,10,17
75310,1158,"TH","15:30:00","16:20:00",27,10,18
75311,1158,"TU","14:00:00","14:50:00",27,10,19
75312,1158,"TH","14:00:00","14:50:00",28,10,20
75313,1158,"TU","11:00:00","11:50:00",27,10,21
75314,1158,"TH","11:00:00","11:50:00",27,10,22
75315,1158,"M","09:05:00","09:55:00",28,10,23
75316,1158,"W","09:05:00","09:55:00",27,10,24
75317,1158,"M","10:10:00","11:00:00",27,10,25
75318,1158,"W","10:10:00","11:00:00",26,10,26
75319,1158,"M","10:10:00","11:00:00",26,10,27
75320,1158,"W","10:10:00","11:00:00",28,10,28
75321,1158,"M","12:20:00","13:10:00",27,10,29
50284,1155,"MTUWTH","09:00:00","12:00:00",8,2,30
50284,1155,"MTUWTH","09:00:00","12:00:00",8,2,31
50284,1155,"MTUWTH","12:00:00","13:00:00",8,2,32
50284,1155,"MTUWTH","12:00:00","13:00:00",8,2,33
50284,1155,"MTUWTH","13:00:00","14:00:00",8,2,34
50284,1155,"MTUWTH","13:00:00","14:00:00",8,2,35
50479,1155,"MTUWTH","09:00:00","13:00:00",5,2,36
50479,1155,"MTUWTH","09:00:00","13:00:00",5,2,37
50479,1155,"MTUWTH","13:00:00","14:00:00",5,2,38
50479,1155,"MTUWTH","13:00:00","14:00:00",5,2,39
50997,1155,"MTUWTH","09:00:00","14:00:00",2,2,40
50466,1155,"TU","17:00:00","19:30:00",1,3,41
50466,1155,"TU","17:00:00","19:30:00",1,3,42
51862,1155,"MTH","16:00:00","18:00:00",2,3,43
51862,1155,"MTH","16:00:00","18:00:00",2,3,44
51873,1155,"MTUWTH","12:30:00","17:20:00",5,3,45
51050,1155,"MTUWTH","07:30:00","12:20:00",3,3,46
51866,1155,"MTUWTH","12:30:00","17:20:00",4,3,47
51868,1155,"MTUWTH","09:00:00","11:40:00",15,3,48
51883,1155,"MTUWTH","12:30:00","17:20:00",5,3,49
51884,1155,"MTUWTH","12:30:00","17:20:00",6,3,50
51874,1155,"MTUWTH","12:30:00","17:20:00",8,3,51
50320,1155,"MTUWTH","12:30:00","17:20:00",5,3,52
51892,1155,"MTUWTH","12:30:00","17:20:00",1,3,53
51893,1155,"MTUWTH","12:30:00","17:20:00",1,3,54
51871,1155,"MTUWTH","07:30:00","12:20:00",4,4,55
51925,1155,"MTUWTH","12:30:00","17:20:00",11,5,56
51925,1155,"MTUWTH","12:30:00","17:20:00",11,5,57
51428,1155,"MTUWTHF","13:00:00","16:00:00",33,6,58
51954,1155,"MTUWTHF","09:05:00","10:55:00",11,6,59
51955,1155,"MTUWTHF","09:05:00","10:55:00",12,6,60
50640,1155,"MTUWTHF","09:30:00","12:00:00",31,6,61
50639,1155,"MTUWTHF","10:10:00","12:05:00",23,6,62
50901,1155,"MTUWTHF","11:15:00","13:05:00",22,6,63
51157,1155,"MTUWTHF","12:20:00","14:15:00",24,6,64
51919,1155,"MTUWTHF","14:30:00","16:25:00",23,6,65
50032,1155,"MTUWTH","09:00:00","12:00:00",46,6,66
50559,1155,"MW","08:30:00","10:20:00",42,6,67
50559,1155,"TUTHF","08:30:00","11:30:00",42,6,68
50034,1155,"MTUWTHF","08:30:00","11:20:00",54,6,69
50035,1155,"MTUWTHF","08:30:00","11:20:00",58,6,70
50160,1155,"M","11:30:00","12:20:00",15,6,71
50641,1155,"MTUWTH","09:00:00","12:15:00",18,7,72
50836,1155,"MTUWTH","13:30:00","16:20:00",10,7,73
50864,1155,"MTUWTH","17:00:00","19:50:00",8,7,74
50661,1155,"MTUWTH","09:00:00","12:15:00",9,7,75
50837,1155,"MTUWTH","13:00:00","16:00:00",9,7,76
50865,1155,"MTUWTH","13:00:00","15:50:00",24,7,77
51453,1155,"MTUWTH","16:15:00","19:05:00",7,7,78
50871,1155,"MTUW","13:25:00","15:15:00",24,7,79
50898,1155,"MTUW","08:00:00","09:50:00",23,7,80
52194,1155,"MTUW","08:00:00","09:50:00",9,7,81
50875,1155,"MTUW","09:05:00","11:00:00",21,7,82
50876,1155,"MTUW","11:15:00","13:10:00",20,7,83
50662,1155,"MTUWTHF","09:00:00","10:30:00",29,7,84
50872,1155,"MTUWTHF","10:45:00","13:05:00",14,7,85
50900,1155,"MTUWTHF","10:45:00","13:05:00",15,7,86
50638,1155,"MTUWTHF","08:00:00","09:55:00",92,7,87
50644,1155,"MTUWTH","09:00:00","14:30:00",5,7,88
51455,1155,"MTUWTH","10:00:00","12:30:00",12,7,89
50870,1155,"MTUWTHF","11:15:00","13:05:00",56,8,90
50309,1155,"MW","08:00:00","09:50:00",58,8,91
50309,1155,"TUTHF","08:00:00","11:00:00",58,8,92
50033,1155,"MTUW","08:00:00","11:00:00",28,8,93
50033,1155,"THF","08:00:00","09:50:00",28,8,94
50617,1155,"MTUWTHF","08:30:00","11:20:00",26,8,95
50159,1155,"MW","15:30:00","18:20:00",23,9,96
50159,1155,"TU","16:30:00","19:20:00",23,9,97
50316,1155,"MW","11:30:00","14:20:00",22,9,98
50316,1155,"TU","12:30:00","15:20:00",22,9,99
50423,1155,"MTUW","13:30:00","16:20:00",14,9,100
50180,1155,"MTUW","17:30:00","20:20:00",19,9,101
51010,1155,"TU","16:00:00","16:50:00",5,9,102
51010,1155,"TUWTH","16:50:00","19:50:00",5,9,103
50160,1155,"MW","13:00:00","16:00:00",15,9,104
75256,1158,"TUTH","15:30:00","16:45:00",10,10,105
76569,1158,"TUTH","15:30:00","16:45:00",5,10,106
76496,1158,"MWF","13:25:00","14:15:00",2,10,107
75322,1158,"W","12:20:00","13:10:00",26,10,108
75323,1158,"M","11:15:00","12:05:00",28,10,109
75324,1158,"W","11:15:00","12:05:00",27,10,110
75325,1158,"M","12:20:00","13:10:00",27,10,111
75255,1158,"TUTH","15:30:00","16:45:00",2,10,112
75326,1158,"W","12:20:00","13:10:00",27,10,113
75327,1158,"M","11:15:00","12:05:00",28,10,114
75328,1158,"W","11:15:00","12:05:00",28,10,115
75329,1158,"M","12:20:00","13:10:00",26,10,116
75330,1158,"W","12:20:00","13:10:00",27,10,117
72563,1158,"W","18:30:00","21:20:00",9,10,118
71015,1158,"TUTH","14:00:00","15:15:00",39,10,119
75240,1158,"TUTH","09:30:00","10:45:00",28,10,120
75252,1158,"M","18:30:00","21:20:00",16,10,121
75241,1158,"MWF","14:30:00","15:20:00",24,10,122
75341,1158,"TUTH","11:00:00","12:15:00",27,10,123
75243,1158,"MWF","13:25:00","14:15:00",27,10,124
75245,1158,"MWF","13:25:00","14:15:00",28,10,125
70680,1158,"TU","18:30:00","21:20:00",9,10,126
75246,1158,"TUTH","09:30:00","10:45:00",25,10,127
75247,1158,"MWF","14:30:00","15:20:00",27,10,128
75248,1158,"MWF","09:05:00","09:55:00",27,10,129
73021,1158,"MWF","13:25:00","14:15:00",17,10,130
73638,1158,"TUTH","14:00:00","15:15:00",12,10,131
52117,1155,"TUTH","10:30:00","12:30:00",24,11,132
71825,1178,"TUTH","14:00:00","15:15:00",22,19,133
72913,1178,"TUTH","15:30:00","16:45:00",21,19,134
52041,1155,"MTUWTH","09:00:00","11:40:00",5,10,135
51408,1155,"MTUWTH","09:00:00","11:40:00",10,10,136
51414,1155,"MTUWTH","09:00:00","11:40:00",15,10,137
50217,1155,"MTUWTH","09:00:00","11:40:00",7,10,138
50087,1155,"TUWTHF","13:00:00","15:40:00",4,10,139
50850,1155,"MTUWTH","13:00:00","15:40:00",7,10,140
50088,1155,"MTUWTH","13:00:00","15:40:00",3,10,141
75249,1158,"MWF","14:30:00","15:20:00",14,10,142
70674,1158,"MW","14:30:00","15:45:00",12,10,143
75250,1158,"TUTH","15:30:00","16:45:00",15,10,144
