"term","start_date","end_date"
1115,"2011-05-16","2011-07-22"
1118,"2011-08-29","2011-12-09"
1121,"2012-01-09","2012-04-27"
1125,"2012-05-14","2012-07-20"
1128,"2012-08-27","2012-12-07"
1131,"2013-01-07","2013-04-26"
1135,"2013-05-13","2013-07-19"
1138,"2013-08-26","2013-12-06"
1141,"2014-01-13","2014-05-02"
1145,"2014-05-19","2014-07-25"
1148,"2014-08-25","2014-12-05"
1151,"2015-01-12","2015-04-30"
1155,"2015-05-18","2015-07-24"
1158,"2015-08-31","2015-12-11"
1161,"2016-01-11","2016-04-28"
1165,"2016-05-16","2016-07-22"
1168,"2016-08-29","2016-12-09"
1171,"2017-01-09","2017-04-27"
1175,"2017-05-15","2017-07-21"
1178,"2017-08-28","2017-12-08"
1181,"2018-01-08","2018-04-26"
1185,"2018-05-07","2018-07-13"
1188,"2018-08-27","2018-12-07"
1191,"2019-01-07","2019-04-25"
1195,"2019-05-06","2019-07-26"
1198,"2019-08-26","2019-12-06"
1201,"2020-01-13","2020-04-30"
1205,"2020-05-18","2020-07-24"
1208,"2020-08-26","2020-12-11"
1211,"2021-01-11","2021-04-29"
1215,"2021-05-17","2021-07-23"
1218,"2021-08-26","2021-12-11"
